WILAYA_CLEAN,COMMUNE_CLEAN,ZONE_RPA,capital_total,nb_polices,dommage_total,risque_moyen,proba_moyenne,CLASSE_COMMUNE
M SILA,OULED ADDI GUEBALA,Inconnu,2968000.0,2,148400.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,OULED DERRADJ,Inconnu,3454640.0,2,172732.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,OULED MADHI,Inconnu,2480000.0,2,124000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,OULED SIDI BRAHIM M SILA,Inconnu,5425000.0,1,271250.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,SIDI AISSA,Inconnu,753497800.0,162,37674890.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,SIDI HADJERES,Inconnu,31300000.0,7,1565000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,TAMENTIT,Inconnu,2000000.0,1,100000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,AIN FARES MASCARA,Inconnu,20679170.0,9,1033958.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,AIN FEKAN,Inconnu,5800000.0,2,290000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,ALAIMIA,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,BOUHANIFIA,Inconnu,16370480.0,8,818524.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,EL HACHEM,Inconnu,16740000.0,3,837000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,EL KEURT,Inconnu,2100000.0,2,105000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,EL MAMOUNIA,Inconnu,2460500.0,1,123025.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,FROHA,Inconnu,8103200.0,4,405160.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,GHRISS,Inconnu,72806000.0,4,3640300.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,HACINE,Inconnu,5785500.0,2,289275.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,MAOUSSA,Inconnu,10465000.0,3,523250.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,MASCARA,Inconnu,3006705197.0,953,150335260.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,MOHAMMADIA MASCARA,Inconnu,16309206.0,5,815460.0,0.0,0.0,SOUCONCENTRATION ✅
